approach,method,global_pr_auc,global_roc_auc,pos_cutoff_hit5_pct,pos_cutoff_hit10_pct,pos_cutoff_hit20_pct,pos_cutoff_mean_p5,pos_cutoff_mean_p10,pos_cutoff_mean_p20,all_cutoff_mean_p5,all_cutoff_mean_p10,all_cutoff_mean_p20,pos_cutoff_mean_r5,pos_cutoff_mean_r10,pos_cutoff_mean_r20
Approach A: Anomaly Detection,Statistical Robust Z-Score,0.003273,0.574752,6.67,20.0,26.67,0.013333,0.02,0.013333,0.003922,0.005882,0.003922,0.066667,0.166667,0.233333
Approach A: Anomaly Detection,Isolation Forest,0.00307,0.604663,0.0,6.67,26.67,0.0,0.006667,0.013333,0.0,0.001961,0.003922,0.0,0.066667,0.233333
